Function Name,Exclusive Samples,Exclusive Samples %,Inclusive Samples,Inclusive Samples %,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"__scrt_acquire_startup_lock",8,"0,01",8,"0,01",139,0,139,0,
"__scrt_dllmain_crt_thread_detach",8,"0,01",8,"0,01",456,0,456,0,
"__scrt_dllmain_uninitialize_critical",8,"0,01",8,"0,01",410,0,410,0,
"__scrt_dllmain_uninitialize_critical",8,"0,01",8,"0,01",429,0,429,0,
"__scrt_initialize_crt",8,"0,01",8,"0,01",0,0,0,0,
"_DllMainCRTStartup",8,"0,01",8,"0,01",250,0,250,0,
"__scrt_dllmain_uninitialize_c",7,"0,01",7,"0,01",395,0,395,0,
"TransformBMP",7,"0,01",7,"0,01",23,0,23,0,
"dllmain_crt_process_detach",6,"0,01",6,"0,01",108,0,108,0,
"std::_LaunchPad<std::unique_ptr<std::tuple<<lambda_1268a5ee5881dafa003fc32150625876> >,std::default_delete<std::tuple<<lambda_1268a5ee5881dafa003fc32150625876> > > > >::_Run",6,"0,01",6,"0,01",248,0,248,0,
"[msvcrt.dll]",5,"0,01",5,"0,01",0,0,0,0,
"_DllMainCRTStartup",5,"0,01",5,"0,01",0,0,0,0,
"__report_gsfailure",4,"0,01",4,"0,01",299,0,299,0,
"__scrt_acquire_startup_lock",4,"0,01",4,"0,01",156,0,156,0,
"dllmain_crt_process_detach",4,"0,01",4,"0,01",126,0,126,0,
"__scrt_dllmain_uninitialize_c",3,"0,01",3,"0,01",396,0,396,0,
"__scrt_initialize_crt",3,"0,01",3,"0,01",191,0,191,0,
"std::_LaunchPad<std::unique_ptr<std::tuple<<lambda_1268a5ee5881dafa003fc32150625876> >,std::default_delete<std::tuple<<lambda_1268a5ee5881dafa003fc32150625876> > > > >::_Run",2,"0,00",72,"0,13",245,0,245,0,
"[vcruntime140.dll]",1,"0,00",2,"0,00",0,0,0,0,
"__scrt_dllmain_uninitialize_critical",1,"0,00",1,"0,00",431,0,431,0,
"__scrt_initialize_onexit_tables",1,"0,00",1,"0,00",331,0,331,0,
"__scrt_is_nonwritable_in_current_image",1,"0,00",1,"0,00",109,0,109,0,
"__scrt_release_startup_lock",1,"0,00",1,"0,00",160,0,160,0,
"BMPReader::WriteBMP",1,"0,00",40,"0,07",59,0,59,0,
"dllmain_crt_process_attach",1,"0,00",1,"0,00",71,0,71,0,
"dllmain_dispatch",1,"0,00",1,"0,00",229,0,229,0,
"dllmain_dispatch",1,"0,00",1,"0,00",220,0,220,0,
"std::_LaunchPad<std::unique_ptr<std::tuple<<lambda_1268a5ee5881dafa003fc32150625876> >,std::default_delete<std::tuple<<lambda_1268a5ee5881dafa003fc32150625876> > > > >::_Go",1,"0,00",1,"0,00",229,0,229,0,
"[kernel32.dll]",0,"0,00",9 381,"17,13",0,0,0,0,
"__scrt_common_main_seh",0,"0,00",2 266,"4,14",288,0,288,0,
"_scprintf",0,"0,00",1,"0,00",2 110,0,2 110,0,
"BMPReader::ReadBMP",0,"0,00",16,"0,03",27,0,27,0,
"BMPReader::ReadBMP",0,"0,00",3,"0,01",30,0,30,0,
"BMPReader::ReadBMP",0,"0,00",7,"0,01",37,0,37,0,
"BMPReader::ReadBMP",0,"0,00",6,"0,01",38,0,38,0,
"BMPReader::ReadBMP",0,"0,00",617,"1,13",39,0,39,0,
"BMPReader::ReadBMP",0,"0,00",3,"0,01",40,0,40,0,
"BMPReader::WriteBMP",0,"0,00",312,"0,57",57,0,57,0,
"BMPReader::WriteBMP",0,"0,00",257,"0,47",58,0,58,0,
"BMPTransformer::Cleanup",0,"0,00",306,"0,56",134,0,134,0,
"BMPTransformer::Cleanup",0,"0,00",127,"0,23",141,0,141,0,
"BMPTransformer::Transform",0,"0,00",1,"0,00",105,0,105,0,
"BMPTransformer::Transform",0,"0,00",863,"1,58",109,0,109,0,
"BMPTransformer::Transform",0,"0,00",12,"0,02",120,0,120,0,
"BMPTransformer::Transform",0,"0,00",1,"0,00",121,0,121,0,
"BMPTransformer::ValidateParams",0,"0,00",652,"1,19",62,0,62,0,
"main",0,"0,00",332,"0,61",30,0,30,0,
"main",0,"0,00",443,"0,81",42,0,42,0,
"main",0,"0,00",1,"0,00",47,0,47,0,
"main",0,"0,00",146,"0,27",50,0,50,0,
"main",0,"0,00",215,"0,39",51,0,51,0,
"main",0,"0,00",320,"0,58",75,0,75,0,
"main",0,"0,00",434,"0,79",87,0,87,0,
"main",0,"0,00",157,"0,29",95,0,95,0,
"main",0,"0,00",218,"0,40",96,0,96,0,
"operator new",0,"0,00",11,"0,02",35,0,35,0,
"std::_LaunchPad<std::unique_ptr<std::tuple<<lambda_1268a5ee5881dafa003fc32150625876> >,std::default_delete<std::tuple<<lambda_1268a5ee5881dafa003fc32150625876> > > > >::_Run",0,"0,00",7,"0,01",244,0,244,0,
"std::_LaunchPad<std::unique_ptr<std::tuple<<lambda_1268a5ee5881dafa003fc32150625876> >,std::default_delete<std::tuple<<lambda_1268a5ee5881dafa003fc32150625876> > > > >::_Run",0,"0,00",7 024,"12,83",247,0,247,0,
"std::_Pad::_Call_func",0,"0,00",7 110,"12,99",208,0,208,0,
"std::basic_filebuf<char,std::char_traits<char> >::close",0,"0,00",3,"0,01",387,0,387,0,
"std::basic_filebuf<char,std::char_traits<char> >::open",0,"0,00",16,"0,03",288,0,288,0,
"std::thread::thread<<lambda_1268a5ee5881dafa003fc32150625876>,void>",0,"0,00",859,"1,57",47,0,47,0,
"std::vector<int,std::allocator<int> >::_Emplace_reallocate<int>",0,"0,00",1,"0,00",956,0,956,0,
"std::vector<int,std::allocator<int> >::vector<int,std::allocator<int> >",0,"0,00",2,"0,00",735,0,735,0,
