Function Name,Exclusive Samples,Exclusive Samples %,Instruction Address,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"TransformBMP",168,"0,31",0x7FFCCA571149,26,0,26,0,
"TransformBMP",163,"0,30",0x7FFCCA5710DC,25,0,25,0,
"TransformBMP",162,"0,30",0x7FFCCA571092,24,0,24,0,
"TransformBMP",160,"0,29",0x7FFCCA57101C,6,0,6,0,
"TransformBMP",159,"0,29",0x7FFCCA5710BE,24,0,24,0,
"TransformBMP",156,"0,28",0x7FFCCA57106F,15,0,15,0,
"TransformBMP",153,"0,28",0x7FFCCA571153,26,0,26,0,
"TransformBMP",150,"0,27",0x7FFCCA571176,35,0,35,0,
"TransformBMP",148,"0,27",0x7FFCCA571149,26,0,26,0,
"TransformBMP",146,"0,27",0x7FFCCA5710F1,26,0,26,0,
"TransformBMP",144,"0,26",0x7FFCCA571023,6,0,6,0,
"TransformBMP",144,"0,26",0x7FFCCA5710C1,25,0,25,0,
"TransformBMP",144,"0,26",0x7FFCCA57110A,26,0,26,0,
"TransformBMP",139,"0,25",0x7FFCCA57112B,26,0,26,0,
"TransformBMP",137,"0,25",0x7FFCCA5710B4,24,0,24,0,
"TransformBMP",136,"0,25",0x7FFCCA57102A,6,0,6,0,
"TransformBMP",136,"0,25",0x7FFCCA57115E,26,0,26,0,
"TransformBMP",133,"0,24",0x7FFCCA5710D0,25,0,25,0,
"[ucrtbase.dll]",130,"0,24",0x7FFCCE7314CB,0,0,0,0,
"TransformBMP",130,"0,24",0x7FFCCA571097,24,0,24,0,
"__security_check_cookie",127,"0,23",0x7FFCCA571193,47,0,47,0,
"TransformBMP",127,"0,23",0x7FFCCA57113D,26,0,26,0,
"dllmain_crt_dispatch",126,"0,23",0x7FFCCA5711D4,145,0,145,0,
"TransformBMP",126,"0,23",0x7FFCCA571121,26,0,26,0,
"TransformBMP",126,"0,23",0x7FFCCA5710EB,25,0,25,0,
"TransformBMP",126,"0,23",0x7FFCCA5710F7,26,0,26,0,
"TransformBMP",125,"0,23",0x7FFCCA57112E,26,0,26,0,
"__scrt_is_nonwritable_in_current_image",123,"0,22",0x7FFCCA571A97,108,0,108,0,
"TransformBMP",122,"0,22",0x7FFCCA5710CD,25,0,25,0,
"TransformBMP",122,"0,22",0x7FFCCA57112B,26,0,26,0,
"TransformBMP",122,"0,22",0x7FFCCA57112E,26,0,26,0,
"TransformBMP",119,"0,22",0x7FFCCA571076,15,0,15,0,
"TransformBMP",116,"0,21",0x7FFCCA571128,26,0,26,0,
"TransformBMP",114,"0,21",0x7FFCCA5710A5,24,0,24,0,
"TransformBMP",113,"0,21",0x7FFCCA571126,26,0,26,0,
"__security_check_cookie",112,"0,20",0x7FFCCA5711A5,51,0,51,0,
"TransformBMP",112,"0,20",0x7FFCCA5710FF,26,0,26,0,
"TransformBMP",112,"0,20",0x7FFCCA57111B,26,0,26,0,
"dllmain_crt_dispatch",111,"0,20",0x7FFCCA571201,139,0,139,0,
"TransformBMP",110,"0,20",0x7FFCCA5710AF,24,0,24,0,
"TransformBMP",108,"0,20",0x7FFCCA571093,24,0,24,0,
"dllmain_crt_dispatch",107,"0,20",0x7FFCCA5711CD,144,0,144,0,
"TransformBMP",103,"0,19",0x7FFCCA57102F,6,0,6,0,
"TransformBMP",103,"0,19",0x7FFCCA5710AE,24,0,24,0,
"TransformBMP",103,"0,19",0x7FFCCA571123,26,0,26,0,
"TransformBMP",102,"0,19",0x7FFCCA57106C,15,0,15,0,
"TransformBMP",101,"0,18",0x7FFCCA57105F,15,0,15,0,
"TransformBMP",101,"0,18",0x7FFCCA5710D2,25,0,25,0,
"TransformBMP",101,"0,18",0x7FFCCA5710BC,24,0,24,0,
"TransformBMP",100,"0,18",0x7FFCCA571132,26,0,26,0,
"TransformBMP",99,"0,18",0x7FFCCA57118C,0,0,0,0,
"TransformBMP",97,"0,18",0x7FFCCA57113D,26,0,26,0,
"TransformBMP",95,"0,17",0x7FFCCA571166,15,0,15,0,
"TransformBMP",94,"0,17",0x7FFCCA5710E5,25,0,25,0,
"TransformBMP",94,"0,17",0x7FFCCA5710FC,26,0,26,0,
"dllmain_crt_dispatch",92,"0,17",0x7FFCCA5711E6,145,0,145,0,
"TransformBMP",92,"0,17",0x7FFCCA571018,5,0,5,0,
"TransformBMP",91,"0,17",0x7FFCCA57107E,15,0,15,0,
"TransformBMP",91,"0,17",0x7FFCCA571116,26,0,26,0,
"__security_check_cookie",88,"0,16",0x7FFCCA5711B1,0,0,0,0,
"TransformBMP",88,"0,16",0x7FFCCA571182,0,0,0,0,
"TransformBMP",86,"0,16",0x7FFCCA5710A1,24,0,24,0,
"TransformBMP",83,"0,15",0x7FFCCA5710FA,26,0,26,0,
"TransformBMP",81,"0,15",0x7FFCCA57104D,15,0,15,0,
"__security_check_cookie",80,"0,15",0x7FFCCA57119E,50,0,50,0,
"dllmain_crt_dispatch",80,"0,15",0x7FFCCA5711BB,136,0,136,0,
"TransformBMP",77,"0,14",0x7FFCCA57103C,12,0,12,0,
"TransformBMP",77,"0,14",0x7FFCCA571061,15,0,15,0,
"TransformBMP",76,"0,14",0x7FFCCA571109,26,0,26,0,
"TransformBMP",74,"0,14",0x7FFCCA571092,24,0,24,0,
"TransformBMP",74,"0,14",0x7FFCCA5710F9,26,0,26,0,
"dllmain_crt_process_attach",73,"0,13",0x7FFCCA571205,34,0,34,0,
"TransformBMP",70,"0,13",0x7FFCCA571090,23,0,23,0,
"[KernelBase.dll]",69,"0,13",0x7FFCCDB4BC3F,0,0,0,0,
"TransformBMP",67,"0,12",0x7FFCCA5710E5,25,0,25,0,
"TransformBMP",66,"0,12",0x7FFCCA5710CA,25,0,25,0,
"TransformBMP",65,"0,12",0x7FFCCA571115,26,0,26,0,
"TransformBMP",61,"0,11",0x7FFCCA5710D9,25,0,25,0,
"TransformBMP",61,"0,11",0x7FFCCA5710F4,26,0,26,0,
"dllmain_crt_dispatch",60,"0,11",0x7FFCCA5711C9,136,0,136,0,
"TransformBMP",60,"0,11",0x7FFCCA57116E,15,0,15,0,
"TransformBMP",59,"0,11",0x7FFCCA5710AB,24,0,24,0,
"TransformBMP",57,"0,10",0x7FFCCA5710C5,25,0,25,0,
"TransformBMP",56,"0,10",0x7FFCCA57102C,6,0,6,0,
"TransformBMP",56,"0,10",0x7FFCCA571050,15,0,15,0,
"[KernelBase.dll]",54,"0,10",0x7FFCCDAFAA5D,0,0,0,0,
"TransformBMP",54,"0,10",0x7FFCCA57111D,26,0,26,0,
"dllmain_crt_dispatch",53,"0,10",0x7FFCCA5711E2,145,0,145,0,
"TransformBMP",51,"0,09",0x7FFCCA571065,15,0,15,0,
"dllmain_crt_process_detach",50,"0,09",0x7FFCCA571324,92,0,92,0,
"TransformBMP",49,"0,09",0x7FFCCA571159,26,0,26,0,
"dllmain_crt_process_attach",47,"0,09",0x7FFCCA571313,43,0,43,0,
"TransformBMP",47,"0,09",0x7FFCCA571036,6,0,6,0,
"TransformBMP",47,"0,09",0x7FFCCA57111B,26,0,26,0,
"TransformBMP",46,"0,08",0x7FFCCA571081,15,0,15,0,
"TransformBMP",45,"0,08",0x7FFCCA571154,26,0,26,0,
"capture_previous_context",44,"0,08",0x7FFCCA571644,101,0,101,0,
"TransformBMP",44,"0,08",0x7FFCCA5710B1,24,0,24,0,
"dllmain_crt_process_attach",41,"0,07",0x7FFCCA5712EB,84,0,84,0,
"TransformBMP",41,"0,07",0x7FFCCA57105A,15,0,15,0,
"__scrt_initialize_crt",39,"0,07",0x7FFCCA571922,194,0,194,0,
"__scrt_is_nonwritable_in_current_image",39,"0,07",0x7FFCCA571A86,108,0,108,0,
"TransformBMP",39,"0,07",0x7FFCCA571172,15,0,15,0,
"TransformBMP",39,"0,07",0x7FFCCA5710B6,24,0,24,0,
"TransformBMP",37,"0,07",0x7FFCCA571072,15,0,15,0,
"TransformBMP",37,"0,07",0x7FFCCA5710A2,24,0,24,0,
"TransformBMP",36,"0,07",0x7FFCCA571106,26,0,26,0,
"TransformBMP",36,"0,07",0x7FFCCA571110,26,0,26,0,
"TransformBMP",35,"0,06",0x7FFCCA571144,26,0,26,0,
"__scrt_is_nonwritable_in_current_image",34,"0,06",0x7FFCCA571A93,108,0,108,0,
"dllmain_crt_process_detach",34,"0,06",0x7FFCCA5713AB,104,0,104,0,
"TransformBMP",34,"0,06",0x7FFCCA571048,15,0,15,0,
"TransformBMP",33,"0,06",0x7FFCCA5710EC,25,0,25,0,
"TransformBMP",33,"0,06",0x7FFCCA5710FE,26,0,26,0,
"TransformBMP",32,"0,06",0x7FFCCA571040,12,0,12,0,
"[KernelBase.dll]",31,"0,06",0x7FFCCDB14A15,0,0,0,0,
"__report_gsfailure",31,"0,06",0x7FFCCA57169F,0,0,0,0,
"dllmain_dispatch",31,"0,06",0x7FFCCA5713C1,176,0,176,0,
"TransformBMP",31,"0,06",0x7FFCCA5710AB,24,0,24,0,
"TransformBMP",31,"0,06",0x7FFCCA5710E0,25,0,25,0,
"dllmain_crt_process_detach",30,"0,05",0x7FFCCA571363,100,0,100,0,
"TransformBMP",30,"0,05",0x7FFCCA5710D5,25,0,25,0,
"__raise_securityfailure",29,"0,05",0x7FFCCA571530,146,0,146,0,
"__scrt_is_nonwritable_in_current_image",29,"0,05",0x7FFCCA571A77,108,0,108,0,
"__report_gsfailure",28,"0,05",0x7FFCCA5715A1,281,0,281,0,
"__scrt_dllmain_exception_filter",28,"0,05",0x7FFCCA571869,350,0,350,0,
"__scrt_dllmain_exception_filter",28,"0,05",0x7FFCCA5718AF,363,0,363,0,
"__scrt_initialize_onexit_tables",28,"0,05",0x7FFCCA571953,297,0,297,0,
"capture_previous_context",28,"0,05",0x7FFCCA57162E,88,0,88,0,
"dllmain_dispatch",28,"0,05",0x7FFCCA571446,203,0,203,0,
"__scrt_acquire_startup_lock",27,"0,05",0x7FFCCA57179D,140,0,140,0,
"__security_init_cookie",27,"0,05",0x7FFCCA5716DF,184,0,184,0,
"dllmain_dispatch",27,"0,05",0x7FFCCA5713D7,180,0,180,0,
"__report_gsfailure",26,"0,05",0x7FFCCA571581,278,0,278,0,
"__scrt_initialize_onexit_tables",26,"0,05",0x7FFCCA5719D8,327,0,327,0,
"capture_previous_context",26,"0,05",0x7FFCCA57163A,96,0,96,0,
"dllmain_dispatch",26,"0,05",0x7FFCCA5714B2,216,0,216,0,
"dllmain_dispatch",26,"0,05",0x7FFCCA5714BF,216,0,216,0,
"__scrt_dllmain_before_initialize_c",25,"0,05",0x7FFCCA571804,366,0,366,0,
"__scrt_dllmain_uninitialize_c",25,"0,05",0x7FFCCA5718DC,402,0,402,0,
"dllmain_crt_process_detach",25,"0,05",0x7FFCCA571366,103,0,103,0,
"[ntdll.dll]",24,"0,04",0x7FFCD08117F0,0,0,0,0,
"__scrt_dllmain_crt_thread_attach",24,"0,04",0x7FFCCA571824,436,0,436,0,
"__scrt_initialize_onexit_tables",24,"0,04",0x7FFCCA57194C,296,0,296,0,
"__scrt_is_nonwritable_in_current_image",24,"0,04",0x7FFCCA571A47,99,0,99,0,
"__scrt_is_nonwritable_in_current_image",24,"0,04",0x7FFCCA571A79,108,0,108,0,
"__security_init_cookie",24,"0,04",0x7FFCCA5716CF,184,0,184,0,
"_DllMainCRTStartup",24,"0,04",0x7FFCCA5714E6,243,0,243,0,
"_DllMainCRTStartup",24,"0,04",0x7FFCCA57151A,254,0,254,0,
"capture_previous_context",24,"0,04",0x7FFCCA57165A,105,0,105,0,
"dllmain_dispatch",24,"0,04",0x7FFCCA5713EB,189,0,189,0,
"dllmain_dispatch",24,"0,04",0x7FFCCA5713F1,191,0,191,0,
"dllmain_dispatch",24,"0,04",0x7FFCCA5714D5,233,0,233,0,
"dllmain_dispatch",24,"0,04",0x7FFCCA5714DA,233,0,233,0,
"TransformBMP",24,"0,04",0x7FFCCA571105,26,0,26,0,
"__report_gsfailure",23,"0,04",0x7FFCCA5715FB,293,0,293,0,
"__scrt_is_nonwritable_in_current_image",23,"0,04",0x7FFCCA571A36,99,0,99,0,
"__security_init_cookie",23,"0,04",0x7FFCCA571740,205,0,205,0,
"dllmain_crt_process_attach",23,"0,04",0x7FFCCA5712E1,82,0,82,0,
"dllmain_crt_process_detach",23,"0,04",0x7FFCCA57136C,103,0,103,0,
"dllmain_dispatch",23,"0,04",0x7FFCCA5713C6,176,0,176,0,
"dllmain_dispatch",23,"0,04",0x7FFCCA57141C,195,0,195,0,
"dllmain_dispatch",23,"0,04",0x7FFCCA571421,195,0,195,0,
"__local_stdio_printf_options",22,"0,04",0x7FFCCA57176D,83,0,83,0,
"__scrt_acquire_startup_lock",22,"0,04",0x7FFCCA5717B3,150,0,150,0,
"__scrt_dllmain_exception_filter",22,"0,04",0x7FFCCA57187F,351,0,351,0,
"__scrt_dllmain_exception_filter",22,"0,04",0x7FFCCA571883,351,0,351,0,
"__scrt_initialize_default_local_stdio_options",22,"0,04",0x7FFCCA57178C,19,0,19,0,
"__security_init_cookie",22,"0,04",0x7FFCCA5716A4,158,0,158,0,
"__security_init_cookie",22,"0,04",0x7FFCCA5716E5,184,0,184,0,
"__security_init_cookie",22,"0,04",0x7FFCCA571700,184,0,184,0,
"__security_init_cookie",22,"0,04",0x7FFCCA571724,191,0,191,0,
"capture_previous_context",22,"0,04",0x7FFCCA571674,107,0,107,0,
"dllmain_crt_process_attach",22,"0,04",0x7FFCCA57130D,88,0,88,0,
"dllmain_dispatch",22,"0,04",0x7FFCCA571422,195,0,195,0,
"[KernelBase.dll]",21,"0,04",0x7FFCCDB1599D,0,0,0,0,
"__scrt_acquire_startup_lock",21,"0,04",0x7FFCCA5717A9,146,0,146,0,
"__scrt_dllmain_after_initialize_c",21,"0,04",0x7FFCCA5717E4,383,0,383,0,
"__scrt_initialize_crt",21,"0,04",0x7FFCCA571938,201,0,201,0,
"__scrt_initialize_onexit_tables",21,"0,04",0x7FFCCA5719F2,328,0,328,0,
"_DllMainCRTStartup",21,"0,04",0x7FFCCA571515,254,0,254,0,
"capture_previous_context",21,"0,04",0x7FFCCA571689,107,0,107,0,
"[ntdll.dll]",20,"0,04",0x7FFCD08117FE,0,0,0,0,
"__raise_securityfailure",20,"0,04",0x7FFCCA571526,140,0,140,0,
"__raise_securityfailure",20,"0,04",0x7FFCCA571541,160,0,160,0,
"__raise_securityfailure",20,"0,04",0x7FFCCA571552,160,0,160,0,
"__report_gsfailure",20,"0,04",0x7FFCCA571590,280,0,280,0,
"__scrt_acquire_startup_lock",20,"0,04",0x7FFCCA5717CD,0,0,0,0,
"__scrt_acquire_startup_lock",20,"0,04",0x7FFCCA5717C9,152,0,152,0,
"__scrt_dllmain_before_initialize_c",20,"0,04",0x7FFCCA57180E,367,0,367,0,
"__scrt_dllmain_crt_thread_attach",20,"0,04",0x7FFCCA571838,443,0,443,0,
"__scrt_dllmain_exception_filter",20,"0,04",0x7FFCCA57189A,362,0,362,0,
"__scrt_initialize_onexit_tables",20,"0,04",0x7FFCCA57197D,310,0,310,0,
"__scrt_initialize_onexit_tables",20,"0,04",0x7FFCCA571997,317,0,317,0,
"__scrt_initialize_onexit_tables",20,"0,04",0x7FFCCA5719EE,328,0,328,0,
"__scrt_initialize_onexit_tables",20,"0,04",0x7FFCCA5719FA,328,0,328,0,
"_DllMainCRTStartup",20,"0,04",0x7FFCCA5714FF,244,0,244,0,
"capture_previous_context",20,"0,04",0x7FFCCA571649,103,0,103,0,
"dllmain_crt_process_attach",20,"0,04",0x7FFCCA5712FC,84,0,84,0,
"dllmain_crt_process_detach",20,"0,04",0x7FFCCA5713A6,104,0,104,0,
"dllmain_crt_process_detach",20,"0,04",0x7FFCCA571390,122,0,122,0,
"dllmain_dispatch",20,"0,04",0x7FFCCA5713B7,176,0,176,0,
"dllmain_dispatch",20,"0,04",0x7FFCCA571401,191,0,191,0,
"dllmain_dispatch",20,"0,04",0x7FFCCA571412,192,0,192,0,
"dllmain_dispatch",20,"0,04",0x7FFCCA571482,210,0,210,0,
"TransformBMP",20,"0,04",0x7FFCCA57108B,15,0,15,0,
"__report_gsfailure",19,"0,03",0x7FFCCA571570,220,0,220,0,
"__report_gsfailure",19,"0,03",0x7FFCCA571575,220,0,220,0,
"__report_gsfailure",19,"0,03",0x7FFCCA57161A,298,0,298,0,
"__scrt_dllmain_crt_thread_attach",19,"0,03",0x7FFCCA57183F,448,0,448,0,
"__scrt_dllmain_exception_filter",19,"0,03",0x7FFCCA57188B,359,0,359,0,
"__scrt_initialize_crt",19,"0,03",0x7FFCCA571927,194,0,194,0,
"__scrt_initialize_crt",19,"0,03",0x7FFCCA57193C,201,0,201,0,
"__scrt_initialize_onexit_tables",19,"0,03",0x7FFCCA57196F,307,0,307,0,
"__scrt_initialize_onexit_tables",19,"0,03",0x7FFCCA571993,315,0,315,0,
"__security_init_cookie",19,"0,03",0x7FFCCA5716B5,169,0,169,0,
"__security_init_cookie",19,"0,03",0x7FFCCA5716C9,184,0,184,0,
"__security_init_cookie",19,"0,03",0x7FFCCA571710,184,0,184,0,
"dllmain_dispatch",19,"0,03",0x7FFCCA571406,191,0,191,0,
"TransformBMP",19,"0,03",0x7FFCCA5710DC,25,0,25,0,
"__report_gsfailure",18,"0,03",0x7FFCCA5715B5,282,0,282,0,
"__scrt_acquire_startup_lock",18,"0,03",0x7FFCCA5717A5,146,0,146,0,
"__scrt_dllmain_after_initialize_c",18,"0,03",0x7FFCCA5717F8,388,0,388,0,
"__scrt_dllmain_before_initialize_c",18,"0,03",0x7FFCCA571814,373,0,373,0,
"__scrt_dllmain_exception_filter",18,"0,03",0x7FFCCA571893,359,0,359,0,
"__scrt_initialize_crt",18,"0,03",0x7FFCCA57190C,186,0,186,0,
"__scrt_initialize_default_local_stdio_options",18,"0,03",0x7FFCCA571790,20,0,20,0,
"_DllMainCRTStartup",18,"0,03",0x7FFCCA5714EB,243,0,243,0,
"_DllMainCRTStartup",18,"0,03",0x7FFCCA5714EF,243,0,243,0,
"_DllMainCRTStartup",18,"0,03",0x7FFCCA571505,253,0,253,0,
"capture_previous_context",18,"0,03",0x7FFCCA571684,107,0,107,0,
"dllmain_crt_process_detach",18,"0,03",0x7FFCCA571331,92,0,92,0,
"dllmain_crt_process_detach",18,"0,03",0x7FFCCA571351,98,0,98,0,
"dllmain_crt_process_detach",18,"0,03",0x7FFCCA571380,114,0,114,0,
"dllmain_dispatch",18,"0,03",0x7FFCCA571436,200,0,200,0,
"dllmain_dispatch",18,"0,03",0x7FFCCA57145F,206,0,206,0,
"dllmain_dispatch",18,"0,03",0x7FFCCA57148C,212,0,212,0,
"TransformBMP",18,"0,03",0x7FFCCA57114D,26,0,26,0,
"__report_gsfailure",17,"0,03",0x7FFCCA571560,217,0,217,0,
"__report_gsfailure",17,"0,03",0x7FFCCA5715A5,281,0,281,0,
"__scrt_dllmain_after_initialize_c",17,"0,03",0x7FFCCA5717DD,379,0,379,0,
"__scrt_dllmain_before_initialize_c",17,"0,03",0x7FFCCA571813,367,0,367,0,
"__scrt_dllmain_crt_thread_attach",17,"0,03",0x7FFCCA571828,436,0,436,0,
"__scrt_initialize_crt",17,"0,03",0x7FFCCA571918,186,0,186,0,
"__scrt_initialize_default_local_stdio_options",17,"0,03",0x7FFCCA571782,18,0,18,0,
"__scrt_initialize_onexit_tables",17,"0,03",0x7FFCCA57198A,315,0,315,0,
"__scrt_initialize_onexit_tables",17,"0,03",0x7FFCCA5719AE,325,0,325,0,
"__security_init_cookie",17,"0,03",0x7FFCCA5716F7,184,0,184,0,
"capture_previous_context",17,"0,03",0x7FFCCA571695,122,0,122,0,
"dllmain_crt_process_attach",17,"0,03",0x7FFCCA571306,87,0,87,0,
"dllmain_crt_process_detach",17,"0,03",0x7FFCCA57133B,95,0,95,0,
"dllmain_crt_process_detach",17,"0,03",0x7FFCCA571396,122,0,122,0,
"dllmain_dispatch",17,"0,03",0x7FFCCA5713C2,176,0,176,0,
"dllmain_dispatch",17,"0,03",0x7FFCCA5713D2,180,0,180,0,
"dllmain_dispatch",17,"0,03",0x7FFCCA5713E3,182,0,182,0,
"dllmain_dispatch",17,"0,03",0x7FFCCA5714BA,216,0,216,0,
"dllmain_dispatch",17,"0,03",0x7FFCCA5714CB,220,0,220,0,
"__raise_securityfailure",16,"0,03",0x7FFCCA571546,160,0,160,0,
"__report_gsfailure",16,"0,03",0x7FFCCA5715E6,289,0,289,0,
"__report_gsfailure",16,"0,03",0x7FFCCA5715F1,293,0,293,0,
"__scrt_dllmain_crt_thread_attach",16,"0,03",0x7FFCCA57183D,447,0,447,0,
"__scrt_dllmain_exception_filter",16,"0,03",0x7FFCCA57185F,350,0,350,0,
"__scrt_dllmain_exception_filter",16,"0,03",0x7FFCCA57186F,350,0,350,0,
"__scrt_dllmain_uninitialize_critical",16,"0,03",0x7FFCCA5718FB,430,0,430,0,
"__scrt_initialize_onexit_tables",16,"0,03",0x7FFCCA571A1E,304,0,304,0,
"__scrt_initialize_onexit_tables",16,"0,03",0x7FFCCA571A02,328,0,328,0,
"__security_init_cookie",16,"0,03",0x7FFCCA5716C1,169,0,169,0,
"__security_init_cookie",16,"0,03",0x7FFCCA571714,184,0,184,0,
"__security_init_cookie",16,"0,03",0x7FFCCA57172B,191,0,191,0,
"capture_previous_context",16,"0,03",0x7FFCCA57165E,107,0,107,0,
"capture_previous_context",16,"0,03",0x7FFCCA57166E,107,0,107,0,
"dllmain_crt_process_detach",16,"0,03",0x7FFCCA57137C,114,0,114,0,
"dllmain_dispatch",16,"0,03",0x7FFCCA5713DB,180,0,180,0,
"dllmain_dispatch",16,"0,03",0x7FFCCA57142D,196,0,196,0,
"TransformBMP",16,"0,03",0x7FFCCA571114,26,0,26,0,
"__raise_securityfailure",15,"0,03",0x7FFCCA571536,147,0,147,0,
"__report_gsfailure",15,"0,03",0x7FFCCA57155A,217,0,217,0,
"__report_gsfailure",15,"0,03",0x7FFCCA57158B,279,0,279,0,
"__report_gsfailure",15,"0,03",0x7FFCCA57159C,280,0,280,0,
"__report_gsfailure",15,"0,03",0x7FFCCA5715BB,286,0,286,0,
"__report_gsfailure",15,"0,03",0x7FFCCA571621,298,0,298,0,
"__scrt_dllmain_after_initialize_c",15,"0,03",0x7FFCCA571800,392,0,392,0,
"__scrt_dllmain_exception_filter",15,"0,03",0x7FFCCA5718A5,363,0,363,0,
"__scrt_initialize_onexit_tables",15,"0,03",0x7FFCCA571961,302,0,302,0,
"__scrt_initialize_onexit_tables",15,"0,03",0x7FFCCA5719A7,325,0,325,0,
"__security_init_cookie",15,"0,03",0x7FFCCA5716D7,184,0,184,0,
"__security_init_cookie",15,"0,03",0x7FFCCA571736,202,0,202,0,
"dllmain_crt_process_detach",15,"0,03",0x7FFCCA571388,119,0,119,0,
"dllmain_dispatch",15,"0,03",0x7FFCCA5713C7,176,0,176,0,
"__raise_securityfailure",14,"0,03",0x7FFCCA571531,146,0,146,0,
"__raise_securityfailure",14,"0,03",0x7FFCCA57154A,160,0,160,0,
"__report_gsfailure",14,"0,03",0x7FFCCA571629,0,0,0,0,
"__scrt_dllmain_crt_thread_attach",14,"0,03",0x7FFCCA57181F,434,0,434,0,
"__scrt_dllmain_exception_filter",14,"0,03",0x7FFCCA57186A,350,0,350,0,
"__scrt_dllmain_exception_filter",14,"0,03",0x7FFCCA571876,350,0,350,0,
"__scrt_dllmain_uninitialize_c",14,"0,03",0x7FFCCA5718CB,398,0,398,0,
"__scrt_initialize_crt",14,"0,03",0x7FFCCA571914,186,0,186,0,
"__scrt_initialize_crt",14,"0,03",0x7FFCCA571923,194,0,194,0,
"__scrt_initialize_crt",14,"0,03",0x7FFCCA571928,194,0,194,0,
"__scrt_initialize_onexit_tables",14,"0,03",0x7FFCCA5719C2,327,0,327,0,
"__scrt_initialize_onexit_tables",14,"0,03",0x7FFCCA5719DE,328,0,328,0,
"__scrt_is_nonwritable_in_current_image",14,"0,03",0x7FFCCA571A28,88,0,88,0,
"__scrt_is_nonwritable_in_current_image",14,"0,03",0x7FFCCA571A81,108,0,108,0,
